id	sentence1	sentence2	label
10	La excepción fue entre fines de 2005 y 2009 cuando jugó en Suecia con Carlstad United BK, Serbia con FK Borac Čačak y el FC Terek Grozny de Rusia.	La excepción se dio entre fines del 2005 y 2009, cuando jugó con Suecia en el Carlstad United BK, Serbia con el FK Borac Čačak y el FC Terek Grozny de Rusia.	1.0
12	El río Tabaci es una vertiente del río Leurda en Rumania.	El río Leurda es un afluente del río Tabaci en Rumania.	0.0
20	Jugó con los Kane County Cougars clase A en 1993 y los Portland Sea Dogs clase AA.	Jugó en 1993 con Portland Sea Dogs clase A y Kane County Cougars clase AA.	0.0
26	Winarsky es miembro de IEEE, Phi Beta Kappa, ACM y Sigma Xi.	Winarsky es miembro de ACM, IEEE, Phi Beta Kappa y Sigma Xi.	1.0
27	En 1938 se convirtió en el antropólogo del gobierno del Sudán anglo-egipcio y dirigió el trabajo de campo con el Nuba.	En 1938 se convirtió en antropólogo del gobierno en el Sudán Anglo-Egipcio y llevó a cabo tareas en campo con Nuba.	0.0
28	Billy Billy Batson apareció en las primeras cuatro ediciones de ``Black Adam'', publicadas entre finales de 2008 y principios de 2009.	"Black Adam apareció en las primeras cuatro emisiones de ""Billy Batson"", publicado entre fines del 2008 y principios del 2009."	0.0
32	El método solar de este requisito implica usar paneles solares en una aeronave con potencia convencional.	La estrategia solar para este requisito consiste en el uso de paneles solares en un avión que recibe energía de forma convencional.	1.0
35	La policía también interrogó al cantante Rimi Tomy y al actor Kavya Madhavan, ambos amigos cercanos de Siddique y a su esposa Dileep, como parte de la investigación en curso.	La policía además interrogó al cantante Rimi Tomy y al actor Kavya Madhavan, ambos amigos cercanos de Siddique y su esposa Dileep, como parte de la investigación en curso.	1.0
36	Están superpuestos con música de orquesta en vivo espaciada y constan de sonidos vagos, casi deliberadamente silenciosos.	Están superpuestos con música en vivo, libre de colores, y consisten de sonidos orquestales deliberadamente escasos y vagos.	0.0
38	Holly tuvo la influencia musical de Elton John.	Holly Holly recibió la influencia musical de Elton John.	1.0
39	El equipo respondió a los cambios en el próximo partido la misma noche del 19 de febrero.	El equipo respondió a los cambios en el mismo juego que el próximo 19 de febrero por la tarde.	0.0
40	Los Nashua Silver Knights, parte de una liga de verano actual, son el equipo universitario de la ciudad.	Los Nashua Silver Knights, parte de una liga universitaria de verano, es el equipo actual de la ciudad.	0.0
48	"El ""Fallbeil"" se usó por última vez en Alemania occidental en 1949, en Alemania oriental en 1966."	La ``guillotina'' se usó por última vez en Alemania occidental en 1949, en 1966 se usó en Alemania oriental.	1.0
51	El canal es uno de los canales navegables más antiguos de Europa y Bélgica.	El canal es uno de los canales navegables más antiguos en Bélgica y de hecho en Europa.	0.0
52	En 2009 se mudó a Filadelfia y en la actualidad vive en Nueva York.	Se mudó nuevamente a Filadelfia en 2009 y ahora vive en la ciudad de Nueva York.	1.0
53	Falleció de cáncer de estómago en Claremore, Oklahoma, Ciudad de Nueva York, donde se encuentra ubicado el monumento a Lynn Riggs el 30 de junio de 1954.	Falleció el 30 de junio de 1954 de cáncer de estómago en la ciudad de Nueva York. Claremore, Oklahoma es hogar del monumento a Lynn Riggs.	0.0
55	Stipsits nació en Korneuburg, Alemania y pasó su niñez en Stammersdorf, Viena.	Stipsits nació en Korneuburg y pasó su infancia en Stammersdorf, Viena.	1.0
67	La dinastía Keita gobernó el Mali preimperial e imperial desde el Siglo XII hasta principios del Siglo XVII.	La dinastía de Keita dirigieron a Mali desde el Siglo XII hasta principios del Siglo XVII, preimperial e imperial.	1.0
68	Angel Eyes es una canción popular compuesta por Matt Dennis, con letra de Earl Brent.	Angel Eyes es una versión popular compuesta por Earl Brent en 1946, con textos de Matt Dennis.	0.0
83	La música fue escrita por Shyam y las letras compuestas por Sreekumaran Thampi y Sathyan Anthikkad.	La música la compuso Shyam, las letras Sreekumaran Thampi y Sathyan Anthikkad compuso.	1.0
84	La película fue un éxito comercial, y una de las películas más exitosas de Sergio Sollima y menos política que los spaghetti western anteriores del director.	La película fue un éxito comercial, y una de las películas más políticas de Sergio Sollima, y menos exitosa que los western europeos del director.	0.0
95	Kabir le pide a Sarika que revele su plan para terminar con el juego de Ranvir.	Kabir le pide a Sarika revelar su plan para terminar con el juego de Ranvir hacia él.	1.0
96	El equipo respondió a los cambios en el siguiente juego la misma noche el 19 de febrero.	El equipo respondió a los cambios en el mismo partido que se realizó la siguiente tarde de febrero.	0.0
98	El Teniente John Gedge los envió a Mar del Norte en mayo de 1805 y el Teniente Robert Ramsey lo reemplazó en 1806.	El Teniente Robert Ramsey le encargó el Mar del Norte en mayo de 1805 y el Teniente John Gedge lo reemplazó en 1806.	0.0
104	Emma Townshend es representada por David Godwin de DGA Associates.	Emma Townshend representa a David David Godwin en DGA Associates.	0.0
105	Los Nashua Silver Knights, parte de una liga colegial de verano, es el equipo actual de la ciudad.	Los Nashua Silver Knights, parte de una liga actual de verano, son el equipo colegiado de la ciudad.	0.0
112	Desde el extremo oeste del puente, la ruta 268 de Pensilvania conduce al sur hacia Parker y al norte hacia Emlenton.	La Ruta 268 de Pensilvania lleva desde el extremo oeste del puente sur hacia Parker y del norte hacia Emlenton.	1.0
116	Estos eran comunes en el Reino Unidos, pero en Europa, al menos para locomotoras grandes, sin duda son poco frecuentes.	Eran muy raros en el Reino Unido, pero en Europa, al menos para las locomotoras grandes, son relativamente comunes.	0.0
118	Alston nació el 21 de diciembre de 1965 en Oxon Hill, Maryland. Asistió a la Escuela Secundaria Oxon Hill en New Haven, Connecticut.	Nació el 21 de diciembre de 1965 en Oxon Hill, Maryland y asistió a la escuela secundaria en New Haven, Connecticut.	1.0
119	En total, las víctimas de EE. UU. fueron 28 muertos, mientras que las bajas del Viet Cong fueron 345 muertos y se calcula que murieron otros 192.	En total, fallecieron 28 víctimas de EE. UU., mientras que las pérdidas de Viet Cong fueron 345 y se estiman otras 192 muertes.	1.0
120	En CA, el título de contador público (Sri Lanka Sri Lanka) solo puede ser utilizado por los miembros del Instituto de Contadores de Sri Lanka.	En CA, el título de Contador Público (Sri Lanka) puede ser usado solo por los miembros del Instituto de Contadores Públicos de Sri Lanka.	1.0
123	Simyo pertenece al grupo de telecomunicaciones holandés KPN, después de la adquisición del resto de E-Plus el 14 de marzo.	Tras la adquisición de la notificación de E-Plus el 14 de marzo, Simyo pertenece al grupo holandés de telecomunicaciones KPN.	1.0
126	Además de Kuykendall, Robert White y Joshua Soule Zimmerman se desempeñaron como Comisionados del Tribunal de Equidad en el Condado de Hampshire.	Robert White y Joshua Soule Zimmerman sirvieron junto a Kuykendall como comisionado de cancillería del condado de Hampshire.	1.0
135	Estos puntos de vista se expresaron frecuentemente durante el surgimiento de los movimientos protestantes, puritanos y evangélicos.	Estas reseñas con frecuencia se expresaron durante la emergencia de los movimientos evangélicos, puritanos y protestantes.	1.0
141	Feyenoord Rotterdam ganó la Copa UEFA 1973-74 a Tottenham Hotspur 4:2.	La Copa UEFA 1973-1974 fue ganada por Feyenoord Rotterdam sobre Tottenham Hotspur 4-2 en total.	1.0
148	Talfourd Ely era el nieto de John Towill Rutt, quien era amigo de la infancia de Crabb Robinson.	Talfourd Ely era el nieto de Crabb Robinson, que era un amigo de la infancia de John Towill Rutt.	0.0
151	Su padre murió cuando era joven y su madre, Samuel Adams, se casó con Catherine A. Fagan en 1842, quien dos años más tarde se convirtió en gobernadora de Arkansas.	Su padre falleció cuando él era joven y su madre, Catherine A. Fagan, en 1842 se casó con Samuel Adams, que se convirtió en gobernador de Arkansas dos años más tarde.	0.0
152	"También lanzaron la segunda canción en el álbum ""Vices"" como el 5to sencillo del álbum el 13 de junio."	"También lanzaron el segundo tema del álbum, ""Vices"", el 13 de junio como el 5to sencillo del álbum."	1.0
